success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
0,24,120.2623708248,0.2218900838,58.7508364863
1,80.2,164.7143518925,0.0862259847,8.9818699975
0,24.4,122.4909639359,0.1384796804,49.7394243467
0,24,124.5131688118,0.3329962347,63.109905514
0,23.8,112.0685179234,0.4072902685,66.5860443967
0,24.2,127.6378009319,0.3473069343,64.6838892938
1,130.2,317.00502491,0.0997278392,8.3592969627
0,23.8,119.0918490887,0.2428726327,59.9390817795
0,71.2,189.1015489101,0.1289534444,49.565921074
1,180.2,344.6832621098,0.1091731685,9.5688149592
1,54.2,123.0773799419,0.0647832174,6.6333303494
0,180.2,333.0504200459,0.1461681027,64.8634566867
0,23.6,115.64716506,0.4161602276,61.7053972836
0,22.8,98.7627570629,0.8637873504,41.8026436152
0,23.4,114.4166760445,0.3940267706,58.8958247187
0,23.4,97.6216537952,0.584238682,69.0041253392
0,23.6,103.0027308464,0.2004479542,55.7280679802
0,23.8,109.9811029434,0.3406559964,62.1855042828
1,80.2,232.2294478416,0.0608933027,6.3154658066
0,23.8,117.6605210304,0.3527126146,66.3822525668
0,23.8,123.4816319942,0.4249087501,66.3443573019
0,22.4,91.0890228748,0.8699085736,41.5445791787
0,51.4,167.9605660439,0.1571574673,54.3843058413
0,23.8,122.4256210327,0.4479775002,66.2905723268
1,55.2,287.9483449459,0.0706819934,7.9516716387
0,23.8,117.3100600243,0.3635787212,61.6276944406
0,23.8,122.0552930832,0.3674155397,61.4798405946
1,56.4,325.0783269405,0.0711318776,8.783673938
0,23,105.6769340038,0.8517638449,38.4955736629
0,23.6,118.0891990662,0.5976413921,72.4818380608
1,93.8,131.3485729694,0.0778800908,7.6987648331
0,23.4,112.9532558918,0.5293494151,63.9815974466
0,50,160.8280699253,0.1449283973,53.877834032
0,23.8,117.1605279446,0.4355599693,65.6456330357
0,23.6,114.8447978497,0.1480058175,52.9520430633
0,52.6,176.7949450016,0.1229620573,51.1784825083
1,67,199.3082520962,0.1017235273,11.5306815522
1,98.8,238.5211830139,0.096365651,10.061577771
0,180.2,444.8295040131,0.1486242085,69.0412906926
0,51.2,153.3325810432,0.1530203909,52.6033484607
0,23.6,113.8388409615,0.6149053795,72.6908911442
1,114,225.5473778248,0.0797603195,11.7366340065
0,23.8,120.0760788918,0.5014262491,67.9459343456
0,180.2,328.374915123,0.1694430469,48.0664849431
0,23.8,118.5734291077,0.3704081388,63.3751250264
0,24.2,124.3112769127,0.1977771873,56.5449304021
0,23.6,115.8649380207,0.2374686221,56.5235928244
0,50.4,161.402422905,0.1568407027,53.4221694084
0,23.8,120.6384439468,0.2707867715,60.261510972
1,105.2,219.7166469097,0.0902497293,8.9875367818
