success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
0,54.2,102.7044839859,0.0761442751,56.6849608167
0,45.8,321.7632598877,0.1773456513,62.6639418237
1,118.2,323.7945659161,0.0903334865,8.7709617084
0,96.6,167.883947134,0.2019603747,49.1084235816
1,91.2,186.9997360706,0.0228852177,7.339562222
0,180.2,1395.8043498993,0.5374176868,301.4258409464
1,121,407.7768089771,0.0887125963,8.7849264876
0,180.2,300.4814610481,0.1243896284,24.6299547387
0,179.6,327.1689839363,0.0326851772,38.1906947616
1,130.2,221.167320013,0.075620042,7.6509136916
0,127.8,269.7980239391,0.1211319545,98.9816472652
0,54,97.3704018593,0.0967383536,53.2107879467
1,161.4,218.1856210232,0.0918052667,6.1918877821
1,102.4,329.1882710457,0.0706929558,8.9100360826
0,65.6,125.8463921547,0.0847421129,45.2519243857
0,180.2,372.4232430458,0.0981830898,60.2228261471
1,86.4,195.4499690533,0.0935255774,9.024567143
0,180.2,396.0197439194,0.20859499,46.8029487175
1,166.8,363.80123806,0.0982207662,9.0057192469
0,80.8,124.8178300858,0.3697647058,66.123453199
1,170.2,362.0746798515,0.0987231886,9.821984632
1,125.8,248.8818838596,0.0920680924,8.8586763202
0,180.2,350.8439538479,0.2065651958,69.5469314532
0,54.8,108.7820060253,0.1133943853,58.5923727447
0,180.2,398.8005869389,0.2328092669,56.866225266
1,94.2,194.8357241154,0.0971731854,8.9211046416
1,130.4,266.5816240311,0.0355791683,6.2127660254
0,180.2,466.2780771256,0.1762305691,66.0834810602
0,45.6,106.6639339924,0.1145788746,73.0404061842
1,73,136.9937570095,0.0543227912,6.7338838181
0,66.4,147.1098940372,0.0661635588,16.3646020102
0,180.2,317.7289571762,0.0952336636,11.4726649857
1,164.4,290.6801571846,0.0918720864,8.9691139836
0,180.2,400.7000560761,0.1877775917,39.2374153329
0,99.4,228.5453329086,0.1309067585,63.3346699731
1,65.8,129.0883901119,0.0747794019,8.5919448541
0,78,149.7744460106,0.0455427813,59.6176962909
0,53.4,95.7169880867,0.1651596127,55.3136688643
1,92.4,343.3678598404,0.0830403822,8.8623517557
0,180.2,427.1213049889,0.342257118,116.5663899879
1,126.6,405.5040311813,0.0758297396,8.6955655981
0,170.6,472.5524270535,0.1010880633,107.0140860672
0,180.2,285.8846509457,0.1102585044,19.664242634
0,55,106.6019461155,0.0971903735,60.1037810103
0,53.2,100.4873209,0.1173659406,50.8332610418
0,55.6,110.3137469292,0.1366690857,38.7512759978
1,94.4,349.2433290482,0.0796308238,8.6543662826
0,180.2,423.533987999,0.2022356652,44.7784430658
0,66,134.6277370453,0.1454176307,35.9825870647
1,180.2,751.3428010941,0.0945496149,8.9790284856
