success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
0,180.2,280.1649749279,0.4107246627,19.4289903109
1,168.6,285.5828199387,0.0195908584,8.1450892733
1,176.4,326.6660699844,0.0641138938,8.5518624156
1,16,33.6166210175,0.0575131399,3.3861631268
1,71.8,97.7941281796,0.0948062291,4.1125796646
0,14.2,25.5640540123,1.0449990432,11.6514367361
1,94.8,128.6434428692,0.061927947,5.3430230677
0,13.8,24.1441509724,1.042522638,13.2528715913
1,152.8,224.2455630302,0.062874903,8.1258233187
1,16,34.5508699417,0.0559406315,8.1987398029
0,14.6,28.620579958,1.0444057675,8.1730251104
1,81,118.0447669029,0.0766398339,7.0812103677
1,98.8,129.5258488655,0.0669072272,2.5017184796
1,96.6,125.8126480579,0.0474300589,3.2088065657
0,180.2,418.0633919239,0.1337704223,106.9499729387
1,16.2,37.7177278996,0.097340836,6.977809802
0,190.4,260.7403450012,0.1449300618,46.9648028122
0,57,84.3243582249,0.1286827074,26.3847271073
1,100.6,145.267647028,0.0815477823,8.7725688762
1,16,36.0492680073,0.0860244033,0.8529846813
1,99.4,135.0162599087,0.0639810125,8.8045798533
1,96.6,123.9288589954,0.071377635,5.4371290014
0,16,33.7529380322,0.1066870718,5.1060619171
1,93.6,128.7959220409,0.0769919497,2.1629015359
0,128.8,227.5678231716,0.1291175533,83.1195852204
0,14.4,26.7667927742,1.0492425024,9.011091462
0,180.2,226.0819017887,0.1128298973,25.5635593959
0,13.6,22.1003580093,1.0458186856,15.4753734597
1,93.2,125.2491858006,0.0620849844,6.4919342259
0,180.2,247.7756841183,0.0323007654,62.9769537821
1,97.2,128.7652740479,0.0752648931,0.150964759
1,96.4,131.902764082,0.0600439879,8.5049185925
1,96.6,134.1280190945,0.0984077922,3.6272545751
1,96.2,130.4060847759,0.0521576993,1.6140593263
1,71,95.2213439941,0.0906164738,8.949572316
0,14.2,25.2420620918,1.0489921064,12.9945234519
0,180.2,240.4190700054,1.0640445976,58.5880239515
1,96,129.7734289169,0.0478382207,1.1441167616
0,180.2,289.8777029514,0.1575995659,69.0872056821
1,96.4,130.2673859596,0.0958177856,8.0024817116
0,15.8,34.2035439014,0.1332406006,9.6145944197
0,131,251.6201338768,0.1353469373,83.1022336087
1,95.4,132.6004879475,0.0310077929,8.8862109503
0,13.6,22.4752299786,1.0403006633,17.5911292495
1,94.4,125.2635819912,0.046291305,8.6002717966
0,180.2,220.2051479816,0.2578363403,45.5829525871
0,180.2,223.978839159,0.1434724399,27.9653021828
1,71.6,96.7090070248,0.062264048,5.2165256724
1,94.8,127.9592950344,0.0947212908,0.6519785717
0,14.4,26.9968202114,1.0503870428,8.840438874
