success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
0,180.2,182.4115748405,1.9949627599,98.7829208295
0,180.2,182.1441240311,1.7684536469,87.5652501245
0,180.2,182.1004290581,1.7565008019,85.3043365897
0,180.2,182.0834410191,2.1441305126,97.073861954
0,180.2,182.0865540504,1.790260204,91.7211242135
0,180.2,182.1088740826,1.999814693,99.7490313876
0,180.2,182.2658879757,1.7816125408,89.8636173964
0,180.2,182.0827839375,1.9530803771,90.6527633697
0,180.2,182.0623960495,1.9422365287,88.7917635734
0,180.2,182.4463047981,1.7901843117,91.581337119
0,180.2,182.1313960552,1.542198058,78.1974699992
0,180.2,182.1017048359,1.7687710695,87.9356486388
0,180.2,182.0558669567,1.7771167479,88.9600842407
0,180.2,182.0844869614,1.7385388795,81.821258793
0,180.2,181.9838650227,2.180744116,104.3615825595
0,180.2,182.004283905,1.9367124366,87.8807065499
0,180.2,181.9838159084,1.6037701843,90.0091807253
0,180.2,182.001737833,2.2122528335,111.4687245134
0,180.2,181.9756147861,1.7949321442,92.4430264584
0,180.2,181.9801790714,2.0052568933,100.6914808921
0,180.2,182.0007400513,1.7273797533,79.9421568438
0,180.2,182.0013818741,1.7796438221,89.349314007
0,180.2,182.0438871384,2.133968606,94.9612491319
0,180.2,182.0243828297,1.7845209348,90.4282813925
0,180.2,182.0346860886,2.2093896351,110.8168609076
0,180.2,181.9988310337,1.9820538407,96.0728742445
0,180.2,182.0147628784,2.1620892812,100.4476738812
0,180.2,182.0694618225,1.9722393207,94.1929316745
0,180.2,182.0307500362,1.9344548669,87.2955836986
0,180.2,182.0088150501,2.1541484464,98.6222076723
0,180.2,182.0396950245,2.1666596316,101.0607609227
0,180.2,182.0297679901,1.9421102584,88.8488082423
0,180.2,182.0819160938,1.9486537046,89.5651463544
0,180.2,182.0157561302,2.0044113807,101.2629192094
0,180.2,182.0139558315,1.9701976591,93.6626252711
0,180.2,182.028883934,1.7618749379,86.3974653947
0,180.2,182.0322470665,1.9494126405,90.115193698
0,180.2,182.0361218452,2.1995794391,108.854171612
0,180.2,182.0121908188,1.9417611708,88.5574742259
0,180.2,182.0025830269,2.1725912116,102.2191496879
0,180.2,182.0073060989,2.011083675,102.0742753805
0,180.2,182.0438539982,1.9528051894,90.6274152991
0,180.2,182.0380721092,1.525708483,75.2045026175
0,180.2,182.0209069252,1.7896367365,91.4784966948
0,180.2,182.0911478996,2.1499537383,98.0046049627
0,180.2,182.1632959843,1.9979555134,99.4029062047
0,180.2,182.102533102,1.958451472,91.5194683673
0,180.2,182.0861740112,1.9987960324,99.3620594228
0,180.2,182.1020059586,1.9412523565,88.8021517394
0,180.2,182.139441967,1.9868075191,97.0047946188
