success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
1,16.2,146.772687912,0.0734709643,3.1668332796
1,16.2,76.5324780941,0.0807274518,3.240377211
1,16.2,73.0186049938,0.0903591423,3.2137926308
1,15.6,64.5587608814,0.0775143051,1.9630477691
1,16,77.1393709183,0.096711918,5.0768948233
0,43.8,114.7930970192,0.4932985686,14.3306255193
1,15.6,65.8336191177,0.0637144432,0.3961156162
0,148.6,308.199849844,0.1363574698,47.2346144961
1,103.8,624.4239358902,0.0924252191,9.0195153875
0,180.2,547.7346520424,0.1282961335,19.5323726329
0,67.2,161.2648258209,0.4478724838,23.9728855266
0,66.2,144.63139081,0.3938951104,23.990786278
0,14.2,44.2078180313,0.4154091439,9.9940623593
1,16.2,85.9984488487,0.0818614317,2.6105315908
1,51.4,119.6561181545,0.0841954028,7.8693412945
0,14.8,54.1726310253,0.4546172172,12.5440917431
1,58.4,143.8260419369,0.0831571949,7.4590176867
1,15.8,75.0125329494,0.0649555201,0.4986933699
0,16.6,108.2020459175,0.1842997812,14.9478290331
0,180.2,331.9006128311,0.3060332168,13.5490673294
0,66.8,145.3264379501,0.4157612424,22.915731007
1,15.2,52.6906421185,0.0498833506,8.8634998176
1,44.4,126.5036001205,0.0865471039,8.4203768378
0,180.2,1183.9160411358,0.1621534114,37.0163567285
1,16.2,73.4035160542,0.0778410198,6.0079463263
1,15.8,68.6024358273,0.0961365881,4.0146044081
1,15.8,70.1748430729,0.0670147248,1.0315430754
0,180.2,286.8214650154,0.0512506564,21.2889915866
1,15.8,71.6148989201,0.0845676549,3.371445808
0,15.2,57.5724229813,0.4771365214,7.8670756717
0,25.8,74.4024820328,0.3480769473,6.8203345825
1,16,72.8169050217,0.0682843545,2.1342050681
0,15,55.5735220909,0.4518109036,0.8597920792
0,14.8,56.428951025,0.48470186,4.3157121981
1,52,117.8806631565,0.0905073917,8.1828781311
1,15.8,63.5842359066,0.0809230341,3.7549667257
1,16.4,83.2542638779,0.0813878072,2.2374073106
1,51.2,110.2080149651,0.099501032,7.1604011256
1,51.4,108.4401948452,0.0786469916,7.768719814
0,169.2,435.7131171227,0.2167547079,35.5047980276
0,14.8,50.0598289967,0.4588795655,0.7059328202
0,15.2,61.1928081512,0.4301147298,4.8540644061
0,14.8,56.544919014,0.5509665236,4.5516508995
0,180.2,6906.6338608265,0.1351644043,28.4462740065
0,180.2,1858.3212258816,0.1011402593,30.6006460612
1,103.2,594.3274831772,0.0909157631,8.9589241204
0,180.2,1605.093957901,0.142244508,27.1742943022
1,52,116.0471661091,0.0927513866,8.9127373829
0,15.2,56.080165863,0.43046959,3.7010004144
0,14.4,43.512018919,0.4884317803,6.1821484226
