success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
0,180.2,185.9647789001,0.6072059348,91.2101121326
0,180.2,186.0578649044,0.3780798406,66.7931145153
0,180.2,185.7047069073,0.3885336284,74.0924375746
0,118,123.4692659378,0.7494953075,80.2611552127
0,180.2,185.5646841526,0.8886493704,38.8350919609
0,117,122.3139989376,0.8988667687,76.5108821239
0,116.8,122.2425239086,0.9308141105,78.1956480926
0,180.2,186.0632860661,0.4283119118,77.4850781215
0,180.2,185.5959379673,0.3652003501,68.1815116506
0,180.2,185.4582960606,0.4293482927,77.2562122563
0,180.2,185.6427938938,0.607589085,82.9259722625
0,180.2,185.6049199104,0.5316284229,72.5239024847
0,180.2,185.919054985,0.5175004414,73.2374407661
0,180.2,186.0068838596,0.4124341189,76.6498379744
0,180.2,185.4976799488,0.4008814647,72.7510089903
0,180.2,185.771214962,0.4251857824,78.8021467872
0,118.4,124.5088989735,0.8654111109,73.0162719125
0,114.8,120.70835495,0.7607112023,78.6809557416
0,180.2,185.8223428726,0.4240328379,78.0706646264
0,180.2,186.1753230095,0.5338834786,71.4121628201
0,180.2,185.9362010956,0.422847126,78.2810864511
0,119,125.1770122051,0.8133054884,77.0994360046
0,180.2,186.3567101955,0.5209588665,67.3790674173
0,180.2,189.6454410553,0.3912589137,70.4359800137
0,120.6,125.9059200287,0.7332799071,77.9714635046
0,180.2,186.1478700638,0.5355510468,85.6350166755
0,180.2,185.8617830276,0.4472011262,80.4531042605
0,115.2,120.9311630726,0.7601021972,76.8335211697
0,180.2,186.2332909107,0.3746657132,71.7477773083
0,180.2,185.6786961555,0.5302814633,76.126614626
0,180.2,185.7484409809,0.5015134708,81.1811355327
0,180.2,186.1085929871,0.3697199112,67.576624247
0,180.2,186.2279338837,0.5987663134,87.3136392489
0,180.2,186.4946861267,0.4765411898,68.2854392508
0,180.2,186.8003489971,0.5950315649,85.0895802006
0,118.2,127.4342010021,0.9665724556,73.0481323454
0,180.2,187.5361580849,0.3892750468,74.0593287343
0,118.2,125.0394470692,0.961148337,64.4852720308
0,119,127.4813990593,0.8683826426,58.6705210661
0,118.6,124.0220789909,0.8729670279,74.8094948185
0,115.4,120.4611361027,0.8413996433,56.5585038524
0,180.2,185.4443941116,0.5876031977,88.7307413483
0,180.2,185.6581509113,0.4402978467,77.6735865139
0,180.2,185.9358820915,0.4164520034,72.693076858
0,143.2,148.6680278778,0.8749496628,84.0369526879
0,116.4,121.5958211422,0.7290086197,70.9289480175
0,180.2,185.5234470367,0.4231312157,78.3596792294
0,180.2,186.2294828892,0.5122222986,85.2439678378
0,180.2,187.6454410553,0.3712589137,64.4359800137
0,120.6,123.9059200287,0.7532799071,72.9714635046
