success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
1,111,189.4373788834,0.0951963349,1.3691705646
1,97.8,167.6176660061,0.09654427,0.1874484344
1,144.8,228.0681300163,0.0687861273,3.257232312
1,108,173.2769989967,0.0474673102,10.8796086789
1,111.2,187.2637581825,0.0757149407,4.1383888756
1,127.6,205.9648659229,0.0734681113,6.7574060592
1,100.6,176.2803449631,0.0920773865,7.6132381264
1,142.6,224.8730871677,0.0961651121,10.8072962955
1,85.2,183.8508050442,0.0844385326,11.0976444174
1,111.6,239.3646211624,0.0931209512,6.9933935925
1,122.4,318.2478530407,0.0817463452,4.3937523034
1,134.8,473.4553179741,0.099673475,3.0455513898
1,113.8,222.4965760708,0.0662248254,6.9998807854
1,97.8,215.1542320251,0.0372095268,2.1386700917
0,180.2,389.94698596,0.8151294109,19.3489356265
1,84.8,177.0431749821,0.0947778563,7.2253659986
1,103.2,229.3753170967,0.0867820981,0.8106080112
1,109.8,205.7881669998,0.085594578,5.7915900812
1,84,173.6688468456,0.0894747018,7.7064919525
1,144.8,280.8418111801,0.0274675398,5.9296497806
1,143.2,300.2539272308,0.0977014449,0.3502365778
1,158.2,599.6506211758,0.0975861579,4.516820333
1,102.6,218.2386410236,0.052998729,3.6178307221
1,129.6,286.6311709881,0.0927168491,4.4384909557
1,147.8,280.8547830582,0.0201870477,8.3055459861
1,84.6,398.8010149002,0.0761878424,8.3412969198
1,85,175.0983788967,0.0822720571,9.0354737798
1,128,260.5297238827,0.0370328233,6.1707502354
1,108.8,238.2739269733,0.0391426157,2.7629837012
1,84.8,176.0418870449,0.0709983293,6.6559770821
1,130.8,344.584690094,0.0992967405,11.9444363596
1,84,171.6113109589,0.0942349366,10.5724816112
1,114,212.1444408894,0.0760565735,5.4868206204
1,111,239.9433059692,0.0865505842,7.1906842295
0,180.2,344.0823051929,0.1635774522,19.8819296207
1,129.2,484.7106540203,0.0979404821,4.5069936046
0,180.2,587.1756160259,0.1077911984,1.1075475047
1,147,461.1085648537,0.0262525537,10.4146413755
1,150,419.1659321785,0.0740387692,5.2657011523
1,100.4,1147.7872519493,0.0655000539,1.8804772397
1,84.6,178.5866439343,0.0617584795,6.1056906483
1,114.6,226.1850681305,0.0852635555,2.4898736045
1,115.4,240.7667689323,0.0996619682,2.8718842546
1,154.2,404.1339080334,0.0387270876,3.6354599648
1,130.8,297.884595871,0.0993342206,5.7981600127
1,134,357.1903560162,0.0987322494,11.5767330438
1,133.8,348.568546772,0.091476202,3.3676740474
1,138.6,298.5014629364,0.0695764733,10.6412827722
1,85.6,187.8365380764,0.0944850372,5.2208101887
1,138,435.8017828465,0.0997994301,3.2533859748
