success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
1,16.2,37.0092570782,0.0876218176,2.6423251961
0,180.2,229.1964731216,0.2501726983,63.6721623033
1,15.4,33.4822158813,0.0857818724,8.5170134812
1,16,36.5479710102,0.0771457426,6.0242467107
1,16.2,36.9764900208,0.0698097384,2.2149251652
0,14.4,28.3633568287,0.091848271,21.8979496207
1,15.2,32.5698070526,0.0651942281,2.9631442728
0,180.2,227.0593390465,0.274451443,73.5201838615
0,180.2,219.021517992,0.1381738326,27.3005427084
1,15.2,29.0933189392,0.0675876168,7.8046026229
1,61.4,97.6549918652,0.0978324734,9.0196532637
1,16.2,39.5014019012,0.0278002532,8.3637177641
1,179.2,216.3069000244,0.0895705004,9.049776091
1,164.4,262.6920008659,0.0853436964,8.9658173584
1,16.4,40.1182780266,0.0962566412,2.8195957865
0,180.2,250.5864629745,0.135487368,63.7054024173
1,15.6,34.1634049416,0.0885398093,5.1399875665
1,125.4,166.8904390335,0.0844766143,8.8767639175
0,146.6,825.0945441723,0.2312058067,26.9174384277
0,13.4,22.7534101009,0.5393300348,13.5398842167
0,126.8,200.417593956,0.0448038139,37.5649983947
0,18.8,63.0004460812,0.1535407694,61.6390987753
0,180.2,244.7884290218,0.1158036367,17.62181096
1,89,255.0474200249,0.0945378154,9.0114023969
0,15.6,39.9008159637,0.1277901767,20.4110697794
0,180.2,236.9961760044,0.1069874307,14.4077790932
0,46.6,89.1983470917,0.1720865684,51.5113905342
0,180.2,246.7923870087,0.1530258239,32.2683119907
1,15.6,38.7303879261,0.0586732641,4.5020753327
1,16,39.7707910538,0.0755843981,3.4667427493
0,180.2,253.4216380119,0.1370153383,9.5921364941
0,13.2,25.3022580147,0.5448930794,9.8437117606
0,112.4,174.4396138191,0.1109627357,23.604979738
0,13.6,27.4722030163,0.5497501021,13.4520838486
1,19.2,52.4727129936,0.0824077437,8.886342818
0,180.2,254.5572948456,0.1207684383,19.3263838627
0,180.2,464.5485370159,0.4194197922,65.7953706151
1,25.4,62.0186059475,0.0871448146,8.9817391895
1,19,54.7879559994,0.080143413,9.0212339287
1,17.6,49.60070014,0.0930380515,5.9537728109
1,102.6,139.9666337967,0.0931754764,6.3466728867
0,15.4,35.5762782097,0.1131424376,19.3904691651
0,14.6,31.7666301727,0.1070661951,25.3610946486
1,145.4,206.299134016,0.092865007,8.9549150268
0,180.2,290.4307820797,0.1187650728,53.9830321871
0,180.2,273.7590501308,0.0848619463,29.1567826962
1,15.8,35.2846589088,0.0575120583,7.7718606357
0,180.2,273.4339029789,0.103867938,17.4553335824
1,144.8,33.1412401199,0.0773210863,7.4702041015
0,180.2,254.0814058781,0.1121107288,14.5158984942
