success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
1,167.6,169.7662928104,0.0793835526,1.9627635715
0,58.8,60.4364578724,0.194486779,30.5565174698
0,172.4,174.3520729542,0.3467122636,64.8420103622
0,115.8,117.5850281715,0.0451155153,9.7657718165
0,113.8,115.5798120499,0.0518754282,11.526210317
0,137.4,139.2919809818,0.0425668527,9.3009069979
0,85.2,87.006939888,0.1478426096,24.4772936658
0,180.2,182.2123548985,0.1482861092,6.990964163
0,142,143.9308841228,0.0440664574,10.0822023465
0,167.2,169.2061400414,0.1135151186,5.035253767
1,111,112.9364619255,0.055977245,8.6032047032
1,168.8,170.938190937,0.0721029332,2.0421482425
1,166.2,168.3100099564,0.0910592672,5.9622938792
0,85.2,87.1533949375,0.0695366747,11.8780698213
0,116.4,118.4633510113,0.0568607872,14.0609358146
0,57.6,59.59258008,0.1778812704,27.0096136946
1,164.8,166.9839730263,0.0804767064,5.6324326908
1,165.4,167.8696799278,0.09676111,0.389604642
0,115.4,117.5162670612,0.0885726563,13.3460714686
1,142,144.2573330402,0.0768572774,0.144546665
1,139.4,141.6266798973,0.0880678519,6.8618720127
1,168.4,170.749557972,0.0964952247,6.0107367559
1,111.2,113.4276399612,0.03180918,8.4798618152
1,111,113.2567350864,0.0872330208,7.0730128395
0,112.6,114.8780920506,0.0358724172,9.8279993604
0,112.6,114.8755500317,0.1063779081,15.9620201826
0,114.6,116.9528639317,0.051529493,10.9224905871
0,85.4,87.703348875,0.0862734197,14.1703982158
0,57.4,59.6326189041,0.1342406435,19.6401274426
0,85.4,87.7326569557,0.079135719,12.5606460816
0,85,87.3679060936,0.0964757331,13.9127762111
0,112.2,114.592525959,0.0700647447,16.4018001538
0,88.6,91.0117168427,0.0945400273,15.796569428
0,180.2,183.0378110409,0.139993806,11.2417760341
1,138.8,141.3136460781,0.0991240572,4.471744895
1,140.4,143.0644359589,0.0765160973,0.211541395
1,172.6,175.2898979187,0.0888956965,0.2957533138
0,112.8,115.4181649685,0.0854778721,13.0488946989
0,85,87.5640819073,0.0828446216,13.9673679941
1,171.6,174.5293970108,0.0937914986,0.7836184679
1,172.4,175.2745888233,0.0836324566,5.9694833639
0,111.4,114.1247310638,0.111291508,16.243442455
0,84.4,87.2348048687,0.1195342596,19.7229219396
1,169.2,172.1911680698,0.0794594729,1.5857307214
1,165.4,168.3164031506,0.0966777288,1.2329555499
0,87.2,90.0520749092,0.1191442747,18.3212613991
0,57,59.8049089909,0.1622199896,24.7191124481
0,112.6,115.4851820469,0.0538959742,14.6638185013
0,112.2,115.1280720234,0.0549076708,12.1346484396
0,116.2,119.2432370186,0.0460404197,14.2800687281
