success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
0,180.2,285.6685140133,0.2562272331,65.484000425
1,124.3,289.6850049496,0.0676768326,14.4760026577
0,180.2,315.8602819443,0.2111902246,95.8387880434
0,180.2,249.4190509319,0.331176894,80.3781870049
0,180.2,265.5697741508,0.1971385388,39.1702348324
0,180.2,251.8929350376,0.2311788528,75.3729160663
0,180.2,288.6157798767,0.1430095402,25.3845396851
0,180.2,489.9897401333,0.1506805632,52.8369334619
0,180.2,322.0626299381,0.2011137586,45.6340005205
1,127.7,297.5669968128,0.0716601142,9.2848342417
0,180.2,287.2598590851,0.1877274702,55.7263719776
0,180.2,301.7866079807,0.2364779209,51.8493185035
0,180.2,275.8782100677,0.2829422491,60.5939569489
0,180.2,276.0456199646,0.1332819345,55.5427637312
0,180.2,361.0120809078,0.1850978026,59.4527146939
1,90,269.8112587929,0.0994323946,8.8249058625
0,180.2,266.6383650303,0.3335340937,80.4389730556
1,80.6,379.4688680172,0.0974242065,6.0752824539
0,180.2,300.5521759987,0.1243237715,52.8230795495
0,180.2,279.5169668198,0.2090214141,39.8322387577
1,57.8,244.5053479671,0.064575251,8.9310023095
0,180.2,289.0327849388,0.0583073294,52.7590095005
0,180.2,361.3966610432,0.2691538243,39.7652286257
0,180.2,397.008343935,0.2487744268,40.2972182445
0,180.2,266.4874820709,0.3231184868,65.1951996597
1,154.2,245.2393829823,0.0389053774,4.7794708643
0,180.2,268.2629158497,0.3224860857,71.2445592147
1,77.3,310.7545909882,0.0806583382,9.888466152
0,180.2,260.8379468918,0.2957909307,71.4308998458
0,180.2,489.9897401333,0.1506805632,52.8369334619
0,180.2,322.0626299381,0.2011137586,45.6340005205
1,46.9,297.5669968128,0.0716601142,9.2848342417
0,180.2,287.2598590851,0.1877274702,55.7263719776
0,180.2,301.7866079807,0.2364779209,51.8493185035
0,180.2,361.0120809078,0.1850978026,59.4527146939
1,112.4,269.8112587929,0.0994323946,8.8249058625
0,180.2,266.6383650303,0.3335340937,80.4389730556
0,180.2,275.8782100677,0.2829422491,60.5939569489
0,180.2,300.5521759987,0.1243237715,52.8230795495
0,180.2,279.5169668198,0.2090214141,39.8322387577
0,180.2,244.5053479671,0.264575251,78.9310023095
1,74.5,379.4688680172,0.0974242065,6.0752824539
0,180.2,361.3966610432,0.2691538243,39.7652286257
0,180.2,397.008343935,0.2487744268,40.2972182445
0,180.2,266.4874820709,0.3231184868,65.1951996597
0,180.2,245.2393829823,0.2389053774,78.7794708643
0,180.2,268.2629158497,0.3224860857,71.2445592147
1,132.8,310.7545909882,0.0906583382,11.888466152
0,180.2,260.8379468918,0.2957909307,71.4308998458
1,97.2,288.6157798767,0.0530095402,8.3845396851
