success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
1,136.2,336.304831028,0.0700377608,8.8883989483
0,180.2,447.8120508194,0.1940618268,47.3908954979
1,150.2,277.0964310169,0.0941909405,8.9216445163
0,180.2,306.8088419437,0.1656536169,31.1113379738
1,117.8,220.3468430042,0.0536930158,8.8505087919
1,100,197.9372668266,0.0644807066,8.0560674616
1,123.6,221.5100059509,0.0702420554,8.5423903701
1,127.6,232.9295861721,0.0826044318,9.0266546139
0,180.2,307.502117157,0.0424341752,19.1505155338
1,149.8,253.712487936,0.0954903656,8.279969581
1,132.8,236.1659369469,0.0450667085,7.8027067269
0,23.6,29.0257968903,1.3538109211,51.29385248
1,152.6,247.8018138409,0.0900746069,7.8297083321
1,151.2,276.462074995,0.0989784773,7.8953639816
0,180.2,316.6210339069,0.0848712442,12.9980886457
1,131.6,246.4235730171,0.0583414743,7.9529020648
1,80.2,189.5556688309,0.0881549136,7.9467077554
1,130.8,250.9545559883,0.0410233306,8.9336160073
1,101,197.7488451004,0.0889049178,8.747239726
0,180.2,207.1964831352,1.0267367291,45.6447438061
1,138.8,255.8060829639,0.0602312994,7.7908272479
1,143,361.9085280895,0.0563186382,7.5987558554
1,101.6,235.063836813,0.0853021544,8.4170942774
1,153,263.6798510551,0.0556893406,7.5654440081
1,111.6,218.8892188072,0.0538891769,7.6615510961
1,101.6,185.2218430042,0.0803334559,7.9757808063
0,180.2,282.9902448654,0.0742132193,11.7785241677
1,173.4,289.9639878273,0.0454777573,7.5624018914
1,150.2,259.1371200085,0.0943255991,8.4778154223
0,180.2,205.909473896,1.0345342417,43.7939964458
0,180.2,276.9791901112,0.1088266502,17.9865553163
1,127.4,236.3292779922,0.0943395007,9.0300027043
0,180.2,310.0216209888,0.1706193917,38.0044848254
1,178.2,345.5255990028,0.0524305668,8.4409148558
1,102.4,198.4041161537,0.0880032965,8.5671513521
1,129.2,245.9451651573,0.0590010383,7.9161724899
0,139.2,278.2666110992,0.1580940307,38.5208270453
1,132.2,277.5807180405,0.0463707169,7.3479083806
1,133,282.9285438061,0.0414368578,7.3401524388
0,23.8,33.3993430138,1.1568129702,51.7406679954
1,103.6,220.6392879486,0.0350158649,7.2991323509
0,180.2,289.0765080452,0.1072640205,15.0634336405
1,80,203.3807721138,0.042254636,8.8087418647
0,116.4,244.4414589405,0.162369678,14.1090306136
0,53,118.1647701263,0.1451257107,37.7288661094
1,133.2,286.7630758286,0.035699957,6.9674753417
1,168.6,337.7938070297,0.0797418939,3.279701949
1,139,311.996584177,0.0969607114,9.0266196172
1,102,232.2945849895,0.0591900813,8.786466827
1,102.4,281.1965069771,0.0945855478,8.8347692837
