success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
0,180.2,298.299063921,0.0567270635,24.9914742097
1,35.2,99.5349931717,0.0811023775,8.8051961317
1,16,59.2384638786,0.0756225551,2.3315700326
1,16,54.359680891,0.0931185608,1.0304502765
1,55.2,112.0420248508,0.0817666247,8.9234722713
0,180.2,309.8609111309,0.0866474882,13.4070916863
1,16.6,67.4148747921,0.0862173173,1.165080198
0,180.2,271.6544561386,0.069748829,14.327092487
0,180.2,340.7528619766,0.1088341466,32.6002539659
0,180.2,297.6569421291,0.0575031829,15.623908267
1,16.4,62.3650929928,0.0842067675,2.3197165531
0,180.2,291.1803131104,0.0538670876,19.8435674643
1,16.4,65.1810450554,0.0701963391,0.616762574
1,52.4,109.9198930264,0.0859161091,6.3575726465
0,30.2,79.1980271339,0.0419568956,12.8347292995
0,180.2,315.8137979507,0.0438183801,21.4303375779
1,15.8,53.9308068752,0.0944579921,4.5785633407
1,39.2,93.8415820599,0.0974453256,3.4436286776
1,16,57.2799220085,0.0603178147,4.046017228
0,15.4,51.2444050312,0.44141011,8.134776162
0,180.2,297.1118531227,0.0348542425,20.4083289531
1,16.2,61.0620150566,0.0800960826,7.4103733399
1,43.4,93.3034610748,0.0961517174,4.9887532157
1,16.4,67.7999019623,0.0772916615,3.3527548272
1,16.6,68.6752200127,0.0887232373,0.6871020143
0,180.2,311.9041819572,0.0521048403,21.8277069834
1,16.2,63.8612499237,0.0968527475,0.4124993908
1,16.4,65.9749119282,0.0711923113,1.8378421813
0,156.8,226.5970380306,0.0915547314,13.2667393779
1,15.6,45.3510329723,0.0972176207,8.4133200798
0,180.2,288.9950480461,0.0615108339,20.0091893655
1,159,255.9924480915,0.0980330742,9.0095858862
0,56.8,105.0007231236,0.041232278,15.1053612453
1,44.8,124.986232996,0.0209526422,8.6491415334
1,56.4,113.3238520622,0.0988757563,6.8786944186
1,16.4,1026.3397490978,0.0818292435,2.125351248
1,15.8,56.0989229679,0.0918376014,6.4476800548
1,43.2,97.1959118843,0.0929138535,5.2423078332
1,46.8,138.263461113,0.0972077147,9.0488861542
1,15.8,51.7976281643,0.0921642534,6.1881145004
0,180.2,292.698154211,0.0742500194,17.3258640102
1,15.8,55.0108869076,0.0874443557,5.5853933835
1,15.6,49.2854709625,0.0842208759,6.9905754019
0,180.2,318.504212141,0.1263351733,32.0121993838
0,180.2,359.3354768753,0.0458711668,11.5412340062
1,15.8,56.3947689533,0.0888389307,8.0823833355
1,16,54.5802800655,0.0814642305,2.7035831461
0,180.2,467.4934630394,0.055794936,22.4390268694
0,180.2,284.8697459698,0.0810497595,21.1184827387
0,180.2,784.4020991325,0.0669759356,21.6824426893
