success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
0,46,48.0641059875,1.2565915153,79.7170655172
0,101.2,103.1894049644,1.0327489887,81.8659678288
0,18.4,20.0699739456,1.1537950785,62.7904345684
0,180.2,182.2593979836,2.6058179047,3.0739188827
0,180.2,182.2325100899,2.4242959918,3.5803663011
0,180.2,182.2587900162,2.3924621265,9.4249777595
0,180.2,182.1937201023,2.4068201565,6.6256578246
0,76.6,78.445691824,1.1048294904,83.4686419693
0,18.4,20.0479240417,1.1502889504,60.3471369845
0,180.2,182.19354105,2.3283017545,2.2369419141
0,45.4,47.1196849346,1.1136501459,70.7375675228
0,18.4,20.0670058727,1.1624158686,47.3483524447
0,180.2,182.1936590672,2.3930949163,9.2898548462
0,45,46.7354948521,1.2068996462,68.9666263178
0,180.2,182.233948946,2.3277873883,2.5189022062
0,180.2,182.2140951157,2.4820201371,10.3241239765
0,71.8,73.6308538914,1.0578783913,81.7755296832
0,18.4,20.0604081154,1.1532509853,61.0586518948
0,102.6,104.5233519077,1.0588477998,88.5219852147
0,180.2,182.2238531113,2.4358381095,4.366323466
0,103.2,105.0826299191,1.0476360783,83.1108946763
0,46,47.7589080334,1.1556910107,74.4144378299
0,99.6,101.4677839279,1.0342564559,84.109953659
0,73.4,75.2206740379,1.0603871249,78.7376615822
0,75.4,77.7877349854,1.123768401,89.6048065461
0,99.4,101.9222989082,1.0958857063,86.8758422298
0,180.2,182.2873361111,2.4219178884,3.914557416
0,46,47.8265740871,1.2532115642,78.9716043714
0,180.2,182.2540650368,2.4918581338,8.5203277663
0,72,73.9715089798,1.0605923692,81.3026228498
0,44.8,46.5826599598,1.1688662391,72.1447973643
0,180.2,182.2389509678,2.5921418733,5.5661335861
0,45.6,47.3941700459,1.2788754678,75.9439974092
0,47,48.8962011337,1.1945307247,74.0801468716
0,180.2,182.2689979076,2.4004108836,7.9568967068
0,180.2,182.2757308483,2.4835164899,10.2465085465
0,180.2,182.2819669247,2.3234269708,3.4205838143
0,180.2,182.2760419846,2.3934888016,9.2122968804
0,73.2,75.2179911137,1.0681386108,81.7191632893
0,45.8,47.637898922,1.0991582032,69.3462807571
0,48.6,50.4593770504,1.0911400576,68.8512118508
0,180.2,182.2766060829,2.3283659002,2.3483620009
0,18.4,20.1948330402,1.1988583855,49.378518598
0,180.2,182.2944447994,2.4829513566,10.1633870258
0,180.2,182.3078169823,2.4024606311,7.3535138912
0,99,101.2906889915,0.9794881949,83.0844804425
0,180.2,182.317690134,2.399075209,8.044537062
0,44.8,46.7784409523,1.1794301636,74.0752814667
0,180.2,182.3127629757,2.4810989603,10.5909402374
0,102.8,104.9561810493,1.0404821443,85.0447328768
