success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
0,180.2,296.3335139751,0.4274785681,115.4381475899
0,180.2,242.72230196,0.2923952871,58.2568578787
0,180.2,291.8710401058,0.3978718523,99.9220172733
0,180.2,233.0011329651,0.3283718784,63.5012668622
1,106.8,185.5537691116,0.0473417281,7.5589108992
0,48.2,144.2308318615,0.4579569689,129.2436730959
1,133.4,239.8195979595,0.0793920081,2.3012438853
0,180.2,284.6659948826,0.4289978535,107.9195654123
0,180.2,1683.5718951225,0.4316573609,109.2883821098
1,108.6,199.4196848869,0.0572094959,8.6919024715
0,180.2,263.2225749493,0.4516093519,120.2783610206
0,180.2,251.1533608437,0.2791390337,53.1511170493
0,74.8,101.6368629932,0.1578456699,43.5331882067
1,109.6,208.6572790146,0.0579946626,8.4793843152
0,180.2,332.4848089218,0.2817390681,54.1617400733
1,139.4,248.5444099903,0.0620591667,8.4261367993
0,83.4,131.6402080059,0.0930348925,67.3846868227
1,176.8,259.6044580936,0.0597827834,7.8557740854
1,110.2,204.418211937,0.0516516143,8.4472914495
0,180.2,244.4795739651,0.2460106476,84.5765141306
1,136.2,217.9299499989,0.0574140406,8.7871440692
0,180.2,242.4467930794,0.2772904296,52.4382283988
0,180.2,228.0367531776,0.1694671956,32.4364082752
0,180.2,279.293861866,0.3494240734,73.2727217656
0,180.2,245.9461159706,0.2554348025,82.4169379588
0,180.2,228.950083971,0.3457272858,72.2816581407
1,107.8,196.6822450161,0.0570447841,7.9039761745
0,50.4,76.950540781,0.4837250376,65.629754681
1,104.8,176.315169096,0.0551758587,7.6213986218
1,105.6,186.6807041168,0.0494957543,7.8612354126
0,180.2,229.3891310692,0.3498598281,73.332921767
0,180.2,255.6568658352,0.4242263254,105.4654497919
1,105.4,178.2657477856,0.0522451113,7.914839773
0,180.2,236.0552990437,0.3075782148,55.6299026203
0,180.2,239.0408909321,0.21110662,92.8278067053
0,180.2,228.3150599003,0.2219644138,46.8084049554
0,180.2,285.6091070175,0.4194341436,111.53021151
1,175.4,253.7906248569,0.0499477374,7.8074396147
0,180.2,238.9614300728,0.3216130425,60.8388132023
0,180.2,286.6141810417,0.4039610126,101.3725928362
1,110.4,208.9085049629,0.0632186495,8.2510206124
1,133.2,222.1168780327,0.0573377712,8.9573424879
0,180.2,233.1755869389,0.3734976569,81.8635891487
0,180.2,233.7197990417,0.2972427403,60.4344057415
1,85.8,204.9629490376,0.0404307029,7.9726524771
0,180.2,238.2337501049,0.362762833,84.3824434557
0,180.2,230.4524178505,0.2362788022,46.1055588326
0,180.2,235.1889619827,0.2830684971,54.6439912444
0,180.2,256.0873920918,0.2159283601,91.7567889636
0,154.2,259.5785570145,0.4872089931,39.9229823016
