success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
0,106.8,219.4056210518,0.39424782,14.6982706208
0,105.6,198.8327898979,0.3395863028,13.9382704669
0,80.4,138.2544820309,0.8672001228,39.0386628992
0,134.2,250.6690890789,0.0753179138,24.9071167703
0,81.6,151.4922008514,0.8627179507,37.4437561342
0,79.8,145.6146030426,0.8684829684,39.1834858873
0,82,142.4563770294,0.8694255747,41.692397809
0,80,145.2253060341,0.8382214387,31.6472309854
0,113,200.552434206,0.4501199374,32.3589104859
0,80.8,148.8824191093,0.8871275519,38.05960286
0,81,147.7894530296,0.8842818307,36.2839656648
0,113,211.2561428547,0.2456925135,23.4082228287
0,120.8,237.9419279099,0.8871818225,31.9531123756
0,113,202.1075479984,0.3454296242,25.5005647835
0,133.8,233.6328539848,0.099870341,27.029829877
0,80.6,143.5853061676,0.8474348101,30.4484405414
0,80.6,146.4074790478,0.8823191493,40.6696222608
0,87.2,174.5851991177,0.9365472198,54.4049493277
0,81.6,147.7360579968,0.9001855284,38.1742903592
0,180.2,404.604362011,0.2110712504,56.6859382178
0,136.4,307.6440250874,0.1954561379,88.7610534751
0,80.2,155.7599229813,0.8610929347,41.1444372573
0,81.8,145.0841929913,0.8814081868,38.7640365207
0,81,154.0611839294,0.9227681603,30.7682134346
0,180.2,354.6501569748,0.0183922572,12.4642814342
0,113.2,200.5156099796,0.2394944253,33.8510966598
0,112.6,203.7249011993,0.2484688767,28.8757726776
0,80.2,138.1639940739,0.8957133593,38.9883967889
0,113.8,211.7470529079,0.0845859717,38.7376063189
0,79.4,143.9288430214,0.8748942556,36.328059801
0,80.8,147.9198429585,0.8852410043,39.6747049825
0,105.4,195.3281719685,0.4480980673,12.2203733982
0,81.2,147.8146500587,0.8861745696,29.6625043338
0,111.6,208.4244937897,0.1712180962,40.4942484231
0,80.6,152.032656908,0.917043414,30.3668807418
0,72.2,166.9475109577,0.9260373823,25.3507009872
0,83.2,145.4365129471,0.86911074,40.0885191237
0,83.2,141.9133269787,0.8608507791,43.1581731199
0,72.2,168.0178880692,0.9330717086,32.4711627616
0,73,174.3645610809,0.9042074872,27.3276760896
0,79.8,151.5796868801,0.5732018112,31.8141906812
0,80.4,146.0771839619,0.9042819272,29.4094110408
0,83.8,152.1531078815,0.8731941924,42.5001916338
0,80.8,145.6100218296,0.8943270796,33.1526937319
0,82.8,144.4617750645,0.8576891644,46.7795377133
0,180.2,354.4002871513,0.2251650087,56.5530086365
0,55,109.4282250404,0.8978006548,50.4027301325
0,79.6,142.9279952049,0.9007233308,36.1745374831
0,180.2,354.6501569748,0.0183922572,12.4642814342
0,113.2,200.5156099796,0.2394944253,33.8510966598
