success_status,total_time_sim,total_time_run,total_error_position,total_error_orientation
0,180.2,377.8825600147,0.1969328415,64.3130630669
1,120.8,510.6959300041,0.0599399299,8.8283037664
0,54.8,108.6671459675,0.045844094,53.2275770336
0,180.2,398.2841260433,0.259012693,91.0330558231
0,180.2,296.2316300869,0.0983187528,16.9302280373
1,116.8,363.5607140064,0.0442865715,8.3710226722
0,180.2,402.6269540787,0.2256509403,71.2735922531
0,180.2,486.4143030643,0.1728825418,51.8262028476
0,40.2,69.7665839195,0.8707736768,57.440043008
1,103.8,187.2668039799,0.0725600069,7.9047612339
1,95.4,208.5151948929,0.0982861886,5.5759810504
0,180.2,572.6068589687,0.2131560942,257.8743549774
1,105.8,215.3466851711,0.0914024949,6.0406721007
1,129,227.2985429764,0.0922719234,8.0178663434
1,94,200.8462078571,0.0991248474,6.8599400648
0,180.2,587.0486710072,0.2490626209,152.1257250103
1,61.6,140.3137409687,0.0857641547,2.2288082036
0,119.2,241.4457240105,0.3150781898,70.0932410544
0,180.2,351.4906671047,0.2170522885,57.4335787487
0,40.6,74.9668209553,0.8663554822,57.4596125862
1,94.2,201.5778701305,0.0990215268,5.7236672727
0,180.2,684.9916651249,0.2227169631,255.3465291078
1,141.2,253.0526349545,0.0957308496,8.5403673351
0,129.4,257.8919379711,0.3349614077,53.4077157431
1,132.6,243.3765859604,0.0999780174,3.5568729588
0,156.2,291.3281478882,0.2509034245,47.9463063556
0,180.2,404.0473799706,0.2216107653,51.2277710187
1,140.6,231.5225050449,0.0929932249,8.7940980794
1,129.8,240.7600860596,0.0968637549,7.2192928263
1,105,196.6728789806,0.0968153526,8.2867884871
1,129.2,232.4980669022,0.0919065595,8.5534995624
1,144.2,492.8859760761,0.074579502,8.0687617203
0,117.6,323.3583569527,0.2122703595,54.4665488561
1,94.8,220.0469551086,0.0975210533,7.3258729325
0,133.2,282.6870310307,0.3980022758,75.6576760782
0,90.6,170.2183680534,0.1640314393,42.4719343013
0,180.2,464.0853018761,0.2137392796,56.0916350388
1,105.2,217.0015611649,0.0954394089,6.9607121206
0,180.2,391.0683479309,0.1882759855,51.3671093851
1,128.4,244.5613379478,0.0995707472,6.0448810818
1,128.2,243.7343089581,0.0971508965,8.4640976572
1,127.2,227.6256260872,0.0999075806,8.5424327548
0,109.8,264.1341669559,0.2136533688,54.6810542975
0,180.2,409.4574301243,0.2233648466,50.7271235582
1,97.2,225.7543809414,0.0985497857,8.5430363807
1,94.56,200.8462078571,0.0991248474,6.6940064833
0,180.2,587.0486710072,0.2490626209,52.1257250103
1,91.6,140.3137409687,0.0757641547,2.7288082036
0,110.2,241.4457240105,0.2650781898,60.0932410544
1,119.2,232.4980669022,0.0819065595,8.8553499562
